cluster_id,protein_id,membership_score
0,4932.Q0142,1.0
0,4932.YLR104W,0.0
0,4932.YKL044W,0.0
0,4932.Q0143,1.0
0,4932.YPL052W,0.0
0,4932.YMR040W,1.0
0,4932.YGL177W,0.0
0,4932.YDR033W,0.0
0,4932.YBL042C,0.0
0,4932.YJR142W,0.0
0,4932.Q0010,1.0
0,4932.YDR246W-A,0.0
0,4932.YBR276C,0.0
0,4932.YML068W,0.0
0,4932.YER011W,0.0
0,4932.YOL092W,0.0
0,4932.YBR287W,0.0
0,4932.YLL015W,0.0
0,4932.YDR505C,0.0
0,4932.YNL045W,0.0
0,4932.YDL114W,0.06666666666666665
0,4932.YNL080C,0.0
0,4932.YLR083C,0.0
0,4932.YGL230C,0.0
0,4932.YNL311C,0.0
0,4932.YJR112W-A,0.0
0,4932.Q0092,1.0
0,4932.YOL045W,0.0
0,4932.YOR044W,0.0
0,4932.YOR092W,1.0
0,4932.Q0297,1.0
0,4932.YGR273C,0.0
0,4932.Q0032,1.0
0,4932.YNL249C,0.0
0,4932.YDR304C,0.0
0,4932.YDR522C,0.0
0,4932.YMR180C,0.0
0,4932.YGL051W,0.0
0,4932.YML119W,0.0
0,4932.YBR233W,0.0
0,4932.YLR124W,0.0
0,4932.YDR509W,0.0
0,4932.YIR014W,0.0
0,4932.YBR209W,0.0
0,4932.YCL057W,0.0
0,4932.YOR246C,0.0
0,4932.YGR269W,0.0
0,4932.YNR021W,0.0
0,4932.YGR035C,0.0
0,4932.YCL007C,0.0
0,4932.YFL010C,0.0
0,4932.YDR274C,-0.5
0,4932.YGL039W,1.0
0,4932.YDL046W,0.0
0,4932.YFR009W,0.0
0,4932.YLR064W,0.0
0,4932.Q0017,1.0
0,4932.YNR064C,1.0
0,4932.YIR016W,0.0
0,4932.YOR242C,0.0
0,4932.YDR133C,0.0
0,4932.YPL119C-A,3.0
0,4932.YBR076W,1.0
0,4932.YBR025C,0.0
0,4932.YKL107W,0.16666666666666663
0,4932.YBL048W,0.0
0,4932.YMR140W,0.0
0,4932.YGL084C,0.0
0,4932.YFR007W,0.0
0,4932.Q0182,1.0
0,4932.YLR361C,0.0
0,4932.YOR227W,0.0
0,4932.YGR153W,3.0
1,4932.YCL017C,1.560919540229885
1,4932.YLL051C,2.466666666666667
1,4932.YMR228W,2.333333333333333
1,4932.YDR204W,1.0
1,4932.YGL258W,0.75
1,4932.YNR060W,2.6666666666666665
1,4932.YER093C-A,1.0
1,4932.YDL067C,1.0
1,4932.YGL166W,0.8333333333333334
1,4932.YOR316C,6.966666666666667
1,4932.YGR062C,4.0560811737282325
1,4932.YDR205W,9.688888888888888
1,4932.YKL044W,0.0
1,4932.YNL123W,0.9333333333333332
1,4932.YMR150C,1.0
1,4932.YOR196C,1.965927750410509
1,4932.YBL065W,1.0
1,4932.YOR031W,0.8
1,4932.YPR155C,2.511111111111111
1,4932.YOR382W,11.636363636363637
1,4932.YLR193C,1.0190476190476192
1,4932.YPL059W,1.4431855500821018
1,4932.YKR016W,12.323886639676113
1,4932.YJL147C,1.0
1,4932.YDR539W,1.0
1,4932.YNL295W,1.0
1,4932.YGL040C,0.7303030303030302
1,4932.YKR035C,0.95
1,4932.YGR021W,2.3047619047619046
1,4932.YHL014C,0.0
1,4932.YIL114C,9.985714285714286
1,4932.YDL009C,4.7
1,4932.YBR255C-A,1.0
1,4932.YBR230W-A,1.0
1,4932.YDR534C,1.0
1,4932.YMR019W,1.0
1,4932.YBL045C,3.727246989132565
1,4932.YLR259C,0.14860040921161466
1,4932.YBR113W,10.563636363636364
1,4932.YBR292C,1.0
1,4932.YLR218C,1.0
1,4932.YHR122W,2.8484848484848486
1,4932.YJR121W,1.0043634096930032
1,4932.YDL133W,1.0
1,4932.YGR273C,0.0
1,4932.YDR377W,13.698025551684088
1,4932.YMR282C,3.1666666666666665
1,4932.YPL172C,32.321969696969695
1,4932.YNL260C,5.7727272727272725
1,4932.YDR522C,0.0
1,4932.YPR021C,3.0
1,4932.YGL051W,0.0
1,4932.YPL005W,2.1136363636363638
1,4932.YIL098C,7.357142857142858
1,4932.YOR387C,1.6111111111111112
1,4932.YLR124W,0.0
1,4932.YGR231C,1.524216524216524
1,4932.YOR246C,0.0
1,4932.YNR041C,4.935978835978836
1,4932.YNR021W,0.0
1,4932.YGL057C,1.0
1,4932.YBR091C,3.3547652916073964
1,4932.YGL091C,3.412747252747253
1,4932.YDL069C,4.954545454545455
1,4932.YFL036W,0.11471861471861466
1,4932.YDR286C,1.0
1,4932.YPR191W,6.133788832418969
1,4932.YJL116C,1.0
1,4932.YDL185W,2.3084033613445376
1,4932.YIR016W,0.0
1,4932.YLR390W,1.0
1,4932.YHR175W,3.4333333333333336
1,4932.YGR132C,4.3566666666666665
1,4932.YMR115W,1.0
1,4932.YPR063C,-0.33333333333333337
1,4932.YMR089C,4.708333333333333
1,4932.YJR127C,1.0
1,4932.YPL252C,8.147780126849895
1,4932.YLL027W,4.208603896103896
1,4932.YOL152W,1.0
1,4932.YOR125C,8.516339869281046
1,4932.Q0055,7.714285714285714
1,4932.YLR136C,1.5073529411764706
1,4932.YNR040W,5.133333333333333
1,4932.YBR196C-A,1.0
1,4932.YER154W,1.8783345714864592
1,4932.YLR072W,0.8333333333333333
1,4932.YLR104W,0.0
1,4932.YKL016C,1.3255264509501798
1,4932.YGR255C,8.522875816993464
1,4932.YLL009C,4.284081632653061
1,4932.YIL023C,6.593406593406593
1,4932.YGL177W,0.0
1,4932.YBR266C,0.6666666666666666
1,4932.YLR164W,1.9166666666666665
1,4932.YBL042C,0.0
1,4932.YKL096C-B,3.8333333333333335
1,4932.YEL051W,3.492792792792793
1,4932.YBR024W,20.504761904761907
1,4932.YGR181W,2.0028860028860027
1,4932.YGR082W,2.001915991156964
1,4932.YMR166C,1.5
1,4932.YHR083W,11.26330532212885
1,4932.YOR200W,0.75
1,4932.YBR287W,0.0
1,4932.YMR265C,1.8
1,4932.YBL022C,0.3939393939393939
1,4932.YKL134C,1.9205128205128206
1,4932.YOL096C,5.181372549019608
1,4932.YDL129W,5.466666666666667
1,4932.YGL018C,0.9987179487179488
1,4932.YGR033C,18.144144144144143
1,4932.YKR071C,10.528409090909092
1,4932.YMR243C,5.696969696969697
1,4932.YLL033W,0.9928571428571429
1,4932.YMR066W,2.2666666666666666
1,4932.YGR182C,4.095238095238096
1,4932.YEL065W,10.654545454545454
1,4932.YAR035C-A,2.0
1,4932.YDR470C,4.7214285714285715
1,4932.YML054C,0.37193668164940397
1,4932.YPL271W,44.65555555555556
1,4932.YDR231C,1.0
1,4932.YJL077C,0.0
1,4932.YLR162W,1.0
1,4932.YNL121C,4.498633879781421
1,4932.YMR177W,1.0
1,4932.YBR120C,1.5357142857142856
1,4932.YIL134W,0.3928571428571428
1,4932.YEL027W,19.258434547908234
1,4932.YNR074C,1.2738095238095237
1,4932.YGL160W,1.0
1,4932.YLR368W,0.025000000000000022
1,4932.YBR255W,1.8095238095238098
1,4932.YOR242C,0.0
1,4932.YMR301C,7.21025641025641
